Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 LLM Engineer ,Link Group,Remote,AI  Python  Machine learning  AWS,17000,21000,PLN
 Data Engineer in Microsoft Azure Cloud ,Avanade Poland,Remote,Data  Python  Azure  SQL,19320,29400,PLN
 Data Engineer (Expert) ,VirtusLab,Remote,Data  Python  Airflow  Trino,26000,31000,PLN
 Gen AI Tech Lead ,Link Group,Gdynia,AI  Python  RAG Pipeline  AWS,27000,32000,PLN
 Senior Data Engineer (Finance Team) ,Falck Digital Technology Poland Sp. z o.o.,Warsaw,Data  SQL  Azure  Python,20000,25000,PLN
 Machine Learning Engineer ,Tooploox,Remote,AI  Python  Machine learning  Computer vision,13000,18000,PLN
    Senior Machine Learning Engineer - Remote ,DCG Sp. z o.o.,Remote,AI  Degree  Machine learning  Python,26880,33600,PLN
 Senior Dev in Machine Learning - z j. niemieckim ,dmTECH,Remote,Data  GCP  CI  Clean Code,15120,28896,PLN
 Machine Learning Engineer  ,HARMAN Connected Services,Remote,AI  Python  AWS  Machine learning,21840,25200,PLN
 Ms Data Engineer Azure Data Factory ,1dea,Remote,Data  Python  Azure Data Factory  SQL,27720,31920,PLN
 Data Engineer ,Inter Cars S.A.,Remote,Data  Scala  Data science  Spark,21000,27000,PLN
 Technical Project Manager ,Devire,Tczew,Project Manager  Communication skills  Project management  Polish,17000,20000,PLN
 Senior Python Developer ,AVENGA,Remote,Backend  Python  SQL  English,25200,28560,PLN
 Python Developer - Digital Operation ,T-Mobile Polska,Warszawa,Data  Python  SQL  CI/CD,,,
 Senior Big Data Engineer (AWS) ,SoftServe,Remote,Data  Python  AWS  Airflow,20000,28000,PLN
 Senior Deep Learning Engineer ,Focal Systems,Remote,AI  Computer vision  Python  Machine learning,45000,55000,PLN
 Generative AI Developer ,Devire Sp. z o.o.,Remote,AI  AWS  AI  Python,16800,19320,PLN
 Machine Learning Engineer ,AVENGA,Remote,AI  Machine learning  SQL  T-SQL,23520,25200,PLN
